TARGET_B,TARGET_D,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,MEDIAN_HOME_VALUE,BIN_MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,BIN_PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,BIN_LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,BIN_FILE_AVG_GIFT,FILE_CARD_GIFT
1,8,77,45,0,4,3,30,1,M,2,0,B,4,550,1,387,83,20210,8,0,49,43,37,1,1,6,4,0.43799999999999994,6.14,0.5710000000000001,6.0,7,4,13.0,29,79,122.0,22,5.55,0,5.0,8.0,3.0,7.0,9,25,5,87,5.55,0,11
0,0,65,71,0,2,2,40,1,M,3,0,B,0,2222,3,450,86,29771,9,2,34,26,43,0,0,5,1,0.1,17.5,0.0,0.0,2,0,26.0,16,44,90.0,7,12.86,2,15.0,20.0,5.0,20.0,5,12,26,88,12.86,2,1
0,0,89,43,0,5,2,7,1,M,4,1,P,0,1296,3,358,52,13619,4,3,30,53,10,1,0,5,1,0.43799999999999994,12.86,0.5,12.25,7,4,11.0,24,68,200.0,21,9.52,1,10.0,15.0,5.0,10.0,9,26,5,87,9.52,1,6
1,15,89,87,0,3,2,20,0,F,1,0,B,6,469,0,222,42,10469,2,0,46,17,39,1,0,5,2,0.35,12.86,0.364,12.5,7,4,17.0,39,94,261.0,24,10.88,1,12.0,15.0,3.0,12.0,11,23,17,87,10.88,1,10
0,0,89,55,0,3,2,0,1,F,4,0,P,0,490,0,152,63,9807,1,0,0,0,0,0,0,5,1,0.071,19.0,0.0,0.0,1,0,25.0,19,49,164.0,14,11.71,2,17.0,20.0,3.0,19.0,5,12,25,87,11.71,2,3
1,10,77,77,0,2,1,34,0,U,4,0,N,0,2156,3,331,41,24742,9,0,42,0,60,1,0,5,2,0.23800000000000002,14.0,0.5,14.0,5,5,21.0,33,91,186.0,16,11.63,2,12.0,17.0,5.0,14.0,11,29,5,87,11.63,2,11
1,33,89,37,0,4,1,23,0,F,5,1,B,7,1765,3,327,72,27674,9,0,50,14,71,0,0,5,4,0.364,25.88,0.455,27.0,8,5,15.0,40,107,470.0,21,22.38,3,25.0,35.0,10.0,35.0,11,27,8,87,22.38,3,7
0,0,89,52,0,3,2,16,1,M,5,1,B,10,610,1,297,90,13018,4,0,33,20,37,0,0,5,3,0.14300000000000002,11.33,0.2,10.5,3,2,20.0,33,88,134.0,14,9.57,1,8.0,13.0,5.0,10.0,8,20,20,87,9.57,1,4
1,20,17,30,0,2,1,35,1,M,6,1,B,11,1117,2,544,87,18212,7,1,27,70,21,0,0,2,1,0.077,20.0,0.2,20.0,1,1,20.0,13,39,76.0,9,8.44,1,15.0,20.0,5.0,20.0,5,14,20,87,8.44,1,1
0,0,89,43,0,1,2,49,1,M,3,1,B,1,542,1,301,65,9742,1,0,24,62,26,0,0,5,1,0.063,25.0,0.0,0.0,1,0,26.0,18,45,109.0,7,15.57,3,15.0,25.0,10.0,25.0,5,12,26,87,15.57,3,2
0,0,89,77,0,2,3,41,1,M,1,0,B,0,312,0,117,65,5016,0,0,23,7,64,1,0,5,1,0.5,20.0,0.545,20.0,10,6,12.0,32,82,380.0,23,16.52,3,15.0,20.0,5.0,20.0,11,30,4,87,16.52,3,9
0,0,89,66,0,4,2,25,0,M,4,0,M,0,1125,2,255,0,16041,6,0,14,39,13,0,0,5,1,0.077,23.0,0.0,0.0,1,0,19.0,12,35,87.0,5,17.4,3,8.0,23.0,15.0,23.0,4,14,19,87,17.4,3,2
0,0,89,37,0,5,4,10,1,F,6,0,B,0,5435,3,1375,97,42851,9,0,29,30,33,1,1,6,2,0.11800000000000001,32.5,0.222,32.5,2,2,15.0,26,58,209.0,10,20.9,3,25.0,35.0,10.0,35.0,10,24,15,87,20.9,3,6
1,25,89,67,0,1,2,49,0,F,2,0,N,0,517,0,327,83,12605,4,0,27,32,25,1,19,5,1,0.2,14.0,0.111,11.0,4,1,15.0,37,106,297.0,27,11.0,1,20.0,25.0,5.0,15.0,9,26,7,86,11.0,1,5
0,0,89,65,0,5,1,1,1,F,6,1,B,2,1489,3,402,26,22959,8,0,38,55,25,0,0,1,1,0.14300000000000002,15.0,0.0,0.0,1,0,15.0,9,29,59.0,5,11.8,2,5.0,15.0,10.0,15.0,2,12,15,86,11.8,2,2
0,0,89,77,0,5,3,9,1,F,5,1,B,7,4872,3,221,10,14394,5,1,12,11,17,0,0,5,1,0.067,17.0,0.0,0.0,1,0,25.0,14,39,101.0,7,14.43,2,5.0,17.0,12.0,17.0,5,13,25,85,14.43,2,1
1,10,53,59,0,5,1,1,1,F,5,0,P,0,3100,3,133,28,18262,7,0,20,18,0,1,1,6,2,0.28600000000000003,13.0,0.2,13.0,6,2,20.0,26,70,284.0,21,13.52,2,20.0,25.0,5.0,10.0,9,21,18,85,13.52,2,4
1,10,137,75,0,5,1,2,1,M,6,1,B,1,2257,3,485,84,17885,7,0,43,28,41,1,10,5,1,0.33299999999999996,8.83,0.444,8.75,6,4,19.0,42,114,247.0,38,6.5,0,5.0,10.0,5.0,10.0,10,24,19,129,6.5,0,22
0,0,101,42,0,3,1,12,1,M,6,1,B,2,787,2,375,94,14366,5,0,24,36,0,0,0,5,1,0.11800000000000001,18.0,0.0,0.0,2,0,17.0,21,59,89.0,7,12.71,2,14.0,19.0,5.0,19.0,4,13,17,91,12.71,2,3
0,0,89,53,0,3,2,0,0,F,7,0,N,0,343,0,162,77,8371,0,0,0,0,0,1,0,5,1,0.125,12.5,0.0,0.0,2,0,18.0,22,51,85.0,10,8.5,1,10.0,15.0,5.0,15.0,6,17,18,85,8.5,1,4
0,0,41,63,0,3,1,14,0,M,4,1,N,0,2439,3,521,47,21808,8,0,34,27,29,0,0,5,1,0.1,19.0,0.0,0.0,2,0,15.0,28,68,163.0,9,18.11,3,28.0,33.0,5.0,20.0,9,22,15,85,18.11,3,2
1,5,5,69,0,2,2,40,0,F,2,0,B,0,789,2,413,97,14123,5,0,31,16,7,0,0,5,3,0.278,5.4,0.222,6.0,5,2,20.0,15,43,70.0,12,5.83,0,7.0,10.0,3.0,5.0,5,12,18,85,5.83,0,2
1,16,89,79,0,5,1,2,1,F,7,1,P,0,1857,3,594,93,27547,9,0,25,9,65,0,0,5,1,0.067,16.0,0.0,0.0,1,0,20.0,18,60,111.0,7,15.86,3,10.0,20.0,10.0,16.0,4,15,20,84,15.86,3,2
1,35,89,58,0,3,2,0,0,U,2,0,P,0,765,2,408,89,15150,5,0,0,0,0,0,0,5,1,0.063,20.0,0.125,20.0,1,1,18.0,21,52,335.0,10,33.5,3,30.0,50.0,20.0,35.0,8,21,7,83,33.5,3,4
0,0,77,76,0,2,3,41,0,F,1,0,M,0,453,0,199,79,9591,1,0,21,40,40,1,10,5,1,0.444,11.25,0.556,11.0,8,5,16.0,24,68,356.0,32,11.13,1,10.0,15.0,5.0,15.0,6,17,4,81,11.13,1,10
1,10,29,46,0,4,2,28,0,M,3,0,N,0,709,1,256,75,13576,4,0,39,9,57,0,0,5,3,0.15,10.0,0.273,10.0,3,3,22.0,25,59,105.0,11,9.55,1,10.0,15.0,5.0,10.0,6,15,18,80,9.55,1,5
0,0,89,45,0,2,2,40,1,F,6,1,B,12,1400,3,318,77,14928,5,0,25,30,29,0,0,5,1,0.1,25.0,0.111,25.0,2,1,18.0,30,72,159.0,12,13.25,2,20.0,25.0,5.0,25.0,11,27,6,81,13.25,2,5
1,10,77,56,0,5,4,10,0,F,1,0,B,2,550,1,91,10,10050,1,0,19,46,31,1,1,6,4,0.5,5.0,0.364,5.0,11,4,8.0,34,90,154.0,28,5.5,0,7.0,10.0,3.0,5.0,11,25,8,80,5.5,0,7
0,0,125,80,0,2,2,37,0,F,1,0,N,0,1688,3,325,70,16023,6,0,33,28,39,1,1,6,2,0.136,15.0,0.273,15.0,3,3,25.0,25,60,145.0,15,9.67,1,10.0,15.0,5.0,15.0,7,14,25,124,9.67,1,8
0,0,137,82,0,2,2,36,1,F,5,0,P,0,550,1,218,80,10815,2,0,40,26,42,1,3,5,1,0.3,10.0,0.556,10.4,6,5,19.0,45,120,321.0,42,7.64,0,11.0,13.0,2.0,10.0,9,22,6,130,7.64,0,23
1,12,89,82,0,3,1,15,0,F,4,1,M,2,1024,2,225,8,16782,6,1,22,33,23,0,0,5,1,0.188,13.33,0.125,10.0,3,1,17.0,22,58,100.0,10,10.0,1,10.0,15.0,5.0,10.0,9,22,6,78,10.0,1,2
0,0,89,64,0,2,2,39,1,F,2,1,B,2,684,1,282,61,13025,4,0,32,26,17,1,0,5,3,0.364,7.88,0.455,7.4,8,5,13.0,32,76,133.0,23,5.78,0,13.0,16.0,3.0,5.0,10,24,13,78,5.78,0,12
0,0,29,55,0,1,1,42,0,U,7,0,N,0,1039,2,525,92,19249,7,3,36,50,33,0,0,3,1,0.059000000000000004,20.0,0.125,20.0,1,1,24.0,16,36,110.0,7,15.71,3,10.0,20.0,10.0,20.0,5,11,24,78,15.71,3,1
0,0,89,75,0,3,1,14,1,M,5,1,B,15,2003,3,909,98,32344,9,0,27,33,19,0,0,5,1,0.063,33.0,0.0,0.0,1,0,26.0,23,54,173.0,6,28.83,3,8.0,33.0,25.0,33.0,8,19,26,78,28.83,3,2
1,10,89,39,0,2,2,38,0,M,6,0,N,0,535,1,192,38,11878,3,0,21,19,22,0,0,5,1,0.059000000000000004,15.0,0.0,0.0,1,0,24.0,16,38,44.0,7,6.29,0,12.0,15.0,3.0,15.0,4,10,24,77,6.29,0,4
0,0,89,58,0,3,2,0,0,F,2,0,P,0,266,0,222,80,9958,1,0,0,0,0,1,11,5,1,0.15,11.67,0.111,10.0,3,1,18.0,38,97,142.0,16,8.88,1,10.0,15.0,5.0,15.0,11,26,18,78,8.88,1,7
0,0,137,48,0,3,2,18,1,F,2,0,B,0,1221,2,436,75,20091,8,0,31,29,26,0,0,5,2,0.21100000000000002,13.0,0.111,16.0,4,1,17.0,39,90,152.0,14,10.86,1,11.0,16.0,5.0,10.0,8,22,17,111,10.86,1,4
1,20,125,85,0,2,2,36,1,F,2,1,P,0,340,0,180,67,9343,1,0,29,27,46,1,0,5,1,0.063,16.0,0.1,16.0,1,1,24.0,39,89,368.0,24,15.33,3,20.0,25.0,5.0,21.0,7,15,9,119,15.33,3,10
1,15,77,49,0,1,2,48,1,F,2,0,P,0,789,2,200,81,9717,1,0,47,19,55,0,0,5,1,0.579,11.27,0.7,10.57,11,7,11.0,25,78,328.0,37,8.86,1,12.0,15.0,3.0,11.0,8,27,4,77,8.86,1,16
0,0,89,59,0,4,1,24,1,F,7,1,B,18,2573,3,582,82,19730,7,0,30,54,8,1,0,5,1,0.25,30.0,0.444,30.0,4,4,16.0,25,56,210.0,10,21.0,3,45.0,50.0,5.0,18.0,11,24,16,79,21.0,3,7
0,0,77,47,0,2,1,35,1,F,7,1,B,2,3770,3,564,83,30842,9,0,48,32,49,0,0,5,1,0.059000000000000004,25.0,0.0,0.0,1,0,25.0,21,48,141.0,7,20.14,3,12.0,25.0,13.0,25.0,7,15,25,76,20.14,3,2
1,10,89,73,0,3,2,18,0,F,5,0,N,0,1821,3,454,79,17008,6,0,24,36,54,1,0,5,2,0.267,12.5,0.14300000000000002,10.0,4,1,17.0,23,58,96.0,13,7.38,0,12.0,15.0,3.0,10.0,11,27,4,78,7.38,0,4
0,0,137,76,0,3,2,0,0,M,5,0,N,0,303,0,161,74,8520,0,0,0,0,0,1,1,6,2,0.182,8.5,0.091,10.0,4,1,21.0,37,95,144.0,33,4.36,0,8.0,10.0,2.0,10.0,7,19,21,129,4.36,0,8
1,25,113,80,0,2,2,37,1,M,5,1,B,2,711,1,223,97,14751,5,0,58,5,86,1,0,5,1,0.25,29.0,0.364,28.25,5,4,16.0,43,108,315.0,12,26.25,3,20.0,35.0,15.0,20.0,11,28,16,109,26.25,3,6
0,0,77,42,0,5,3,8,1,M,5,1,B,3,480,0,343,82,17493,7,0,32,19,57,0,0,5,1,0.059000000000000004,25.0,0.111,25.0,1,1,24.0,23,51,165.0,7,23.57,3,5.0,25.0,20.0,25.0,8,16,24,76,23.57,3,4
0,0,89,70,0,4,1,23,0,F,1,0,N,0,1459,3,377,66,19935,8,0,39,14,42,1,0,5,2,0.25,15.4,0.182,11.5,5,2,13.0,31,79,224.0,16,14.0,2,20.0,25.0,5.0,25.0,9,24,6,78,14.0,2,7
0,0,53,19,0,5,2,7,1,F,4,0,B,10,2475,3,281,22,14765,5,0,7,17,29,0,0,5,1,0.11800000000000001,15.0,0.0,0.0,2,0,19.0,23,71,107.0,9,11.89,2,15.0,20.0,5.0,15.0,8,26,8,76,11.89,2,3
0,0,77,61,0,5,1,3,0,U,5,0,N,0,2440,3,362,36,17769,7,0,19,34,29,0,0,5,1,0.125,37.5,0.25,37.5,2,2,20.0,16,38,210.0,7,30.0,3,15.0,40.0,25.0,25.0,7,16,4,76,30.0,3,3
0,0,29,56,0,2,2,36,1,M,4,1,B,1,689,1,296,70,11819,3,0,45,35,37,1,1,6,4,0.316,8.0,0.5,7.6,6,5,18.0,17,45,60.0,8,7.5,0,5.0,10.0,5.0,10.0,6,16,18,75,7.5,0,5
0,0,137,72,0,5,3,8,0,F,1,0,P,0,1608,3,337,88,10580,2,0,19,71,10,1,1,6,4,0.35,5.0,0.364,5.0,7,4,18.0,41,104,235.0,47,5.0,0,0.0,5.0,5.0,5.0,6,15,18,130,5.0,0,20
1,25,77,81,1,3,1,13,1,F,4,0,P,0,2865,3,534,92,24571,8,0,33,14,52,1,0,5,2,0.35,19.57,0.364,21.0,7,4,11.0,34,93,419.0,27,15.52,3,25.0,30.0,5.0,20.0,9,25,6,80,15.52,3,11
0,0,137,70,0,4,3,31,0,F,2,0,N,0,1781,3,105,11,5381,0,0,10,0,45,1,8,5,1,0.1,8.0,0.111,5.0,2,1,26.0,41,96,180.0,48,3.75,0,10.0,11.0,1.0,11.0,4,10,26,123,3.75,0,24
0,0,137,63,0,2,1,35,1,M,5,1,M,6,1361,3,665,98,21294,8,0,22,39,22,1,13,5,1,0.3,9.83,0.222,9.0,6,2,13.0,42,116,237.0,30,7.9,0,6.0,11.0,5.0,9.0,9,26,7,122,7.9,0,16
0,0,77,40,0,3,1,14,1,F,7,0,P,0,914,2,507,92,16840,6,2,47,65,18,1,0,5,1,0.1,27.5,0.111,40.0,2,1,19.0,34,92,239.0,13,18.38,3,35.0,40.0,5.0,40.0,9,23,19,76,18.38,3,6
1,20,65,32,0,5,2,5,1,M,6,1,B,4,1801,3,495,79,18663,7,0,37,26,31,1,0,5,1,0.33299999999999996,20.14,0.6,20.0,7,6,16.0,32,90,331.0,17,19.47,3,10.0,25.0,15.0,25.0,11,26,10,73,19.47,3,12
0,0,41,53,0,2,2,40,1,F,3,1,B,4,742,1,369,89,13642,4,1,35,32,11,0,0,5,2,0.14300000000000002,18.33,0.0,0.0,3,0,16.0,29,75,164.0,12,13.67,2,10.0,20.0,10.0,15.0,11,27,16,73,13.67,2,1
0,0,89,73,0,4,2,27,0,F,2,1,P,0,1720,3,299,53,14082,5,7,39,54,28,0,0,5,1,0.105,15.5,0.1,16.0,2,1,26.0,28,70,148.0,12,12.33,2,11.0,16.0,5.0,15.0,5,14,26,80,12.33,2,4
1,15,113,82,0,2,1,34,1,F,5,1,B,2,1714,3,342,77,18534,7,0,29,43,57,1,1,6,2,0.1,13.5,0.111,15.0,2,1,21.0,32,87,205.08,23,8.92,1,14.92,15.0,0.08,15.0,7,17,21,100,8.92,1,13
1,5,137,79,0,3,1,14,0,F,2,0,N,0,2257,3,695,93,26427,9,2,33,34,14,1,2,3,3,0.526,5.1,0.7,5.29,10,7,20.0,51,131,247.0,52,4.75,0,7.0,10.0,3.0,5.0,11,26,20,118,4.75,0,26
0,0,65,73,0,3,1,12,1,M,7,1,B,2,1407,3,578,82,21162,8,0,29,36,25,1,0,5,4,0.579,6.18,0.7,5.57,11,7,17.0,30,76,104.0,18,5.78,0,6.0,8.0,2.0,8.0,10,22,17,68,5.78,0,8
0,0,65,45,0,1,3,50,1,F,7,0,P,0,317,0,182,78,7839,0,0,23,21,37,1,4,5,1,0.47600000000000003,5.1,0.6,4.33,10,6,12.0,35,101,197.0,47,4.19,0,8.0,10.0,2.0,10.0,8,27,5,69,4.19,0,17
0,0,137,86,0,3,2,0,0,F,3,1,N,0,793,2,344,62,13429,4,0,0,0,0,1,1,6,3,0.632,7.67,0.9,7.56,12,9,12.0,47,129,323.0,50,6.46,0,7.0,10.0,3.0,7.0,10,30,5,129,6.46,0,25
0,0,137,37,0,1,2,45,0,F,6,0,N,0,407,0,214,74,10149,1,0,30,35,28,1,1,6,2,0.3,30.0,0.364,26.25,6,4,16.0,46,124,645.0,27,23.89,3,40.0,50.0,10.0,50.0,10,27,6,121,23.89,3,14
0,0,101,75,0,2,1,35,1,F,7,1,B,6,1125,2,550,90,28012,9,0,40,18,63,1,0,5,2,0.28600000000000003,9.83,0.3,10.0,6,3,13.0,38,103,175.0,22,7.95,0,7.0,11.0,4.0,10.0,10,26,13,92,7.95,0,7
0,0,77,54,0,2,2,36,1,F,5,1,B,13,508,0,269,70,15080,5,0,37,30,35,0,0,5,1,0.067,15.0,0.0,0.0,1,0,24.0,17,46,97.0,11,8.82,1,10.0,15.0,5.0,15.0,5,15,24,68,8.82,1,3
0,0,77,33,0,3,2,19,1,F,6,1,P,0,2051,3,417,67,13430,4,1,18,43,25,1,1,6,4,0.364,26.38,0.545,27.5,8,6,21.0,39,106,453.0,30,15.1,3,35.0,40.0,5.0,38.0,11,25,21,76,15.1,3,14
1,35,101,75,0,4,2,27,1,F,3,0,B,3,1215,2,296,49,12319,3,1,33,46,26,0,0,5,1,0.15,40.67,0.091,36.0,3,1,18.0,31,86,361.0,16,22.56,3,40.0,50.0,10.0,36.0,9,22,18,105,22.56,3,4
1,2,65,73,0,1,3,51,1,F,3,1,B,1,240,0,232,77,10744,2,0,27,23,31,1,0,5,4,0.47600000000000003,2.8,0.8,2.75,10,8,12.0,28,64,52.0,23,2.26,0,4.0,5.0,1.0,2.0,10,18,7,69,2.26,0,13
0,0,113,80,0,1,1,42,0,U,7,0,N,0,1212,2,298,74,15314,5,0,38,31,44,1,7,5,1,0.2,11.5,0.2,8.0,4,2,16.0,32,80,105.0,16,6.56,0,17.0,20.0,3.0,15.0,10,23,4,105,6.56,0,8
0,0,113,60,0,1,2,46,1,M,5,1,M,15,768,2,304,70,12793,4,0,28,48,8,1,0,5,2,0.524,10.45,0.4,11.25,11,4,15.0,39,107,360.0,37,9.73,1,10.0,15.0,5.0,10.0,11,27,11,113,9.73,1,10
1,11,125,67,0,5,1,2,0,F,2,0,N,0,2250,3,539,80,18081,7,0,36,34,25,1,3,5,1,0.182,10.25,0.273,10.33,4,3,23.0,45,107,192.0,25,7.68,0,9.0,12.0,3.0,10.0,8,22,23,122,7.68,0,16
0,0,65,67,0,3,1,15,1,F,5,0,B,1,844,2,352,78,18534,7,0,43,9,59,1,0,5,4,0.368,13.0,0.222,14.0,7,2,13.0,29,80,163.0,15,10.87,1,13.0,18.0,5.0,15.0,11,29,11,67,10.87,1,8
1,18,77,52,0,4,1,22,0,M,2,1,P,0,613,1,146,2,13209,4,0,12,18,15,0,0,5,1,0.063,15.0,0.0,0.0,1,0,19.0,19,49,105.0,6,17.5,3,15.0,25.0,10.0,20.0,7,19,5,66,17.5,3,3
0,0,65,49,0,2,2,40,1,F,6,1,B,14,864,2,404,86,13208,4,0,30,36,45,0,0,5,1,0.063,40.0,0.125,40.0,1,1,21.0,20,51,140.0,5,28.0,3,15.0,40.0,25.0,40.0,7,18,21,64,28.0,3,3
1,15,77,71,0,1,2,46,0,M,5,0,P,0,580,1,286,78,12400,3,0,29,34,29,1,0,5,1,0.053,15.0,0.0,0.0,1,0,18.0,24,67,92.0,11,8.36,1,12.0,15.0,3.0,15.0,5,16,18,68,8.36,1,4
